pV_FFA_P_inst;pV_DACH_P_inst;storage_ffa_E_max;storage_dach_E_max;Wind_P_el_n;CAPEX;one_minus_oa_times_oc
31280808.381616198;16965594.607373968;38814579379.72263;51938952678.66766;5892776.767113387;46395690.322205536;0.3217844125561451
94362556.98729119;3067440.524505393;43011643987.49261;58524466765.188805;6983472.184269666;66004257.09526794;0.2773597585886999
89198812.2587848;5210625.984118153;18984438717.500866;50500802702.266045;16640587.351019347;70359164.04195096;0.19705078666278164
17943076.24809049;14347308.603026927;68743232549.21127;69125428929.3245;1043739.2704265935;37521473.67281003;0.49700878585405295
87478429.32488392;6535880.341516811;165324091222.76996;37008485044.56146;9537393.748131549;71752879.41695598;0.24813947937598302
6848463.244639948;17033102.30020362;74138667302.04968;28587653801.766445;2285096.3096946944;30260478.477376048;0.46796769000693106
5021300.144595386;14907370.868309349;346301383.57907724;54439151755.08552;8916683.143293599;31685765.563149065;0.32253116643489277
97658797.97682542;18851892.07528164;26770630360.91435;46496076872.08945;6873460.372094912;80781432.03949541;0.2754714342563611
95541372.29658388;387265.0207575327;8604836928.245337;47433495638.627716;6516830.81915167;60111606.28479181;0.28422822564018924
38537604.93717654;9827797.888983032;166490204937.42917;43675503432.73901;5988000.837687757;48903098.95913027;0.31895903692638794
14519349.19840292;14252470.351135751;131138109087.87578;3351565660.6743503;5290973.838742027;33231321.064924937;0.3605079860609348
22110641.649506647;5724545.6477272315;34696615525.85874;40050483820.956825;7186634.800330842;29659999.5215204;0.3267992235589472
39242223.697903745;474034.85330017435;38084429673.63951;35384744670.02935;12469675.121998867;36477752.563124135;0.2484121009173791
30525247.4245659;11141591.249241712;142591253616.23373;40250409863.61932;3916383.4926166637;42853573.596280605;0.3747886590261086
6231005.5276463805;12846021.5498724;95729691034.1614;37225153518.36173;6377022.45267115;31232767.53264705;0.3656250530196178
5929662.9369245125;19531419.250768013;15292270562.93579;4897198061.87314;14684315.177754523;35039224.08685831;0.2532628087109299
63019716.07386971;4708885.329174353;108125635399.09999;4099417391.0350623;15988967.268755734;54786812.0886031;0.20924543571136722
62092389.62317042;4173513.9945707256;118107077696.4862;3645177863.4431386;16800031.412125885;54887511.384977795;0.20559171576852053
92330924.66739962;3264506.4920175597;20461771332.19749;55782691582.9256;5493777.559136217;62434663.12226461;0.30296159788194665
68320537.23480058;2108581.3272954305;140529401548.17462;10091411885.61807;13100379.661902398;55302908.65013473;0.2254488633667182
63166005.865664445;10645856.916052025;169326691526.01303;7520154822.644357;12986371.768647501;62420143.0410712;0.22501540104287143
67199057.53864503;14400797.265231542;165950975801.7359;19094041648.265526;2624495.5181614016;61840146.55775287;0.38366945688560006
64273162.77185169;10384505.268376933;95024087303.27869;18867324687.949364;1899544.0517180415;51845322.41659976;0.4141044919219815
78323311.98844211;5122252.613708913;161038110944.2912;55999479553.06818;5881663.461200366;65419423.41643922;0.3000917166042065
73705622.17466405;7405876.037947747;517036024.7925432;42548156285.486916;12578763.365999192;59630950.02414082;0.2256003624590116
91455430.69327138;5787007.274722468;95480470929.2894;30424391664.977005;13391102.793674996;71088130.27726617;0.2157107039949434
2967268.1207425282;1772967.1783200216;152009172892.4306;54408175582.030815;811874.4948663212;19867152.21248034;0.7653151888206251
82978646.3270018;12663451.264008578;175712307348.68048;41426433897.023445;16754231.04243555;82233913.93662718;0.19659648996649126
58946789.41854766;9442081.042417048;171272842845.56128;16300224438.580446;5574367.19317245;54875329.14334869;0.3129500805011205
55684073.39598271;5752004.341382856;3903515088.1149287;51036333979.45784;14133191.441270536;51499176.289035976;0.22249943060468513
14717661.503985869;13733758.478595773;90328871309.5521;45426825227.04256;12647532.865607886;41905790.78963676;0.2632452907036792
43029072.6902988;1344201.0391073097;162588525968.80685;571966846.9336054;3140699.6301632016;34326397.83388694;0.3952390076513307
3050814.961622127;6860815.363928886;31437271463.543144;53626988753.771065;11138510.300055418;25934813.53355767;0.3554380707678255
95452963.93078703;12514553.835207067;70874545955.1037;28540693140.346436;13858691.573246289;78536514.41420029;0.21030583304435324
14836870.474567842;16513747.465064345;154937227651.47736;35458554890.92934;13544182.139406973;47622742.35572576;0.25158848894692376
28346318.409161348;4661288.292421394;21113041690.11761;4668662122.417229;9885127.17827641;28069664.936051637;0.282520190957796
31453740.809419267;8184246.572600794;144892719253.7534;9743796811.256613;16239193.75279155;45493412.918676026;0.22466161233166915
36361544.73991008;4160497.252865904;113482773609.46799;60092882599.75307;11640717.746456107;45722640.1609325;0.25601412380509503
41972958.76411605;12154002.70778035;174733438014.93802;10137982659.73966;9866734.26602972;51655999.15959884;0.2615506434599535
89342229.72589284;3953995.5429992704;12427365278.346691;9822361975.146162;650101.8975564835;51167312.952235945;0.45094078280987193
17315214.644160546;19985016.22938345;63108236684.686386;14099546688.023497;10513836.434755877;41992284.40001648;0.2703708307807703
93113460.80886674;16071473.976434195;3360884384.4595823;69855646795.90399;6894364.997475049;77687867.09420827;0.2767391332759459
23209029.47079019;19154443.636966757;108492282160.1258;36870984951.36362;15301679.27050043;53383536.96626689;0.22812808682310481
3653300.0134320213;14837353.663505945;11248635998.161106;15851703993.150826;15391920.442544453;31034493.77885464;0.2661543867273758
73686400.15299898;1479577.0449812803;17344461165.14388;23210621534.46991;7486647.260080171;48125041.17772526;0.27809724324559426
69402092.85790901;14557181.32393212;90291536804.19084;62004344161.50947;2948405.503252037;65097442.83632368;0.3730512660492209
13566109.996049533;8634983.60675818;155211308173.65866;52202088784.87957;6350247.648638182;36053864.90436479;0.3549192977838447
38409627.2888158;15854229.265469186;93369401266.41124;30741096512.45034;10014916.122953434;52027015.699177556;0.2604010147804988
99028119.79498366;15048996.957741957;179318870811.77283;25199767517.756275;10530962.436143653;85923405.88268395;0.2342633633940815
