pVPlantFactorExtetion.P_inst	powerToHeat.max_power	heatStorage.C	mod_battery_system.StorageCapacity	Capex	CO2
0.9642308018865707	0.41844207897077085	0.6517180610280778	0.02802478239427833	14723079.189858714	110411525.52557088
0.7338777234863406	0.7446672872321871	0.2867955401542043	0.8267413241420458	20803312.902099434	110836669.503896
0.0027818606749873687	0.6388550408019862	0.8906396163405341	0.35271879917677323	12565299.444021111	112485506.09279208
0.11389044786474303	0.9970393541193555	0.5161400280086406	0.23913284039465837	12537564.222455842	112354934.88058181
0.67392775812645	0.3341381836021734	0.34775700429585665	0.3288472979976701	15204746.16226917	110747512.05061625
0.4932191515323706	0.13628666147096405	0.7480163510704219	0.8905050128325985	19194914.16785138	110961785.26702963
0.16270096106139487	0.2462793741383106	0.835426525932084	0.058152663187106504	10031292.986734843	111811108.00795345
0.3451389971884736	0.02912132442566161	0.7698370276211739	0.5087592060073824	14679025.67012318	111221970.67678368
0.0714351227269634	0.923791282395238	0.41363817775923895	0.6408244597129993	15645231.887236936	112444965.82048413
0.5227629299026822	0.4713995381272965	0.3670316610885741	0.4122539694515724	15342934.23206879	111065462.81074919
0.41238546683137506	0.8935485344840884	0.1780763409954836	0.4987266862080009	16107211.823310262	111506829.02569053
0.8002504710253113	0.8355087547534226	0.11830409657364153	0.935740379393577	22189441.65270498	110774916.77448602
0.38160515073087625	0.5142370120044611	0.5523200211865322	0.18634681775283676	12740704.345335009	111382404.88594964
0.9493619809417124	0.0752992447198905	0.9798100418706908	0.9949126692030441	22989913.057500657	110279995.18340303
0.6155522515280347	0.252865217866062	0.9457801302165878	0.1290272142397435	13513917.094986359	110794428.56220095
0.5900181996578224	0.6912638370493956	0.6436195367853582	0.5799780222511333	17982625.36412888	111035710.36773162
0.7671453713220908	0.18931711699540296	0.0066777660366753085	0.760334533455481	19003981.20279729	110547580.17376299
0.23642009268259798	0.5648372213715697	0.23604649412961726	0.671360546166508	16007836.19341158	111770731.27379155
0.898335373140719	0.3678779668626598	0.4530011542463626	0.721232769193618	20259314.159459982	110458326.73964119
0.2722635176385281	0.7753850045454506	0.09898352072961916	0.2874188431838464	13046336.685608841	111787566.92963892
0.999982571722192	0.00014348237595446234	0.9998130278073007	0.6991443808383138	20502160.290944412	110193549.45900877
3.7605116747774225e-06	0.00013480389878689492	8.354595110504626e-06	6.840384103645736e-06	7172899.256408855	112112149.71959338
0.999926698950374	0.00013696524344142258	0.999101565957452	0.37742040852784897	17605558.24457384	110206113.94366309
0.9998166332599574	0.005192452822922966	0.982382520566729	0.5390033983170156	19051912.47328522	110186958.89061792
0.9420177273101048	0.07732560123378812	0.683042634827689	0.2751750141328589	16164413.96705447	110298825.3428668
0.10352988065946567	0.23559125097566158	0.23655580346511407	0.010674793751662748	8606359.533434993	111946955.2730718
0.21143395667018572	0.11166894087405238	0.4615337622352175	0.2500597519727279	11393781.631406182	111595686.29645684
0.9993522684009245	0.00012060368447786018	0.9982129536514439	0.45813797973626236	18327615.289885834	110208251.4572713
0.9999683647044685	0.000358961338802255	0.9980088255568376	0.4577188627390879	18327804.780708697	110201832.39514409
0.9999198135399205	0.00012036563821310464	0.9983574982573654	0.13589917858312117	15431020.81550956	110213222.56626192
0.9998131983924136	0.00028805589039609947	0.9993184888818211	0.5008522394827367	18716290.92297843	110196234.39349006
2.249820907962441e-05	1.2403376708769454e-05	9.26664872573646e-05	6.488645888202971e-06	7172851.17562952	112111925.98356183
0.9997585995046607	0.0004327963231057219	0.9972059176833639	0.25687769872322747	16518290.498442614	110184710.98726049
0.03479174733343182	0.006146751122137695	0.4472064197922101	0.0034278905106563395	7888334.9808457475	112015077.64213648
0.1455005911192127	0.3115996682058143	0.38515650781001315	0.02806820569206725	9320890.13381564	111884330.91593635
0.2533090262799426	0.516384964587807	0.05504160517410117	0.1033968364693088	10712829.085282492	111701518.95743863
0.7901396556171215	0.00023386562165905733	0.0007816151816704697	4.827312144073392e-06	11914696.7635476	110439346.55663864
0.9998678582364483	0.0012778447602038168	0.08183951663982214	0.006456486348886625	13317303.112931164	110197978.46050689
0.9998300545412739	0.0020176216750583675	0.006240458794399717	0.19311286010777318	14920041.616986802	110199295.86516026
0.9992179115299272	0.001401167058529329	0.9919241183932844	0.0795469188723475	14915527.095152894	110223741.37207069
0.9997667821259508	0.00021946545149853502	0.0045463318576394185	0.19369001475708503	14919502.683767317	110199275.37717009
0.9997870035136805	0.0007569077273076319	0.987803102216158	0.07991137874470688	14916658.39059704	110200980.1217257
0.999756424579322	0.0001539586443895513	0.0063340639285845435	0.19339698289537627	14918526.716177	110199344.1162749
0.9996696799730547	0.0010280506341936446	0.00296011998881196	0.1937292018025219	14919244.490638064	110199674.79783905
0.999628086041266	0.0018287038056144511	0.015574738167647262	0.19206410668313234	14918695.969399722	110199079.1513941
0.9999161526859112	0.0015255478650382237	0.003562240330838795	0.19334902053985598	14918921.290858487	110201673.31024192
0.99985112032659	0.0003477700376871562	0.0070901131747613255	0.1931219864161221	14917791.82190636	110200401.50354208
0.9999823961956306	0.0002674982967962869	0.002561797599582083	0.19369927247067836	14918917.125331188	110199099.98187408
0.9995752181217954	0.0002686061689202712	0.0022427918871983366	0.19387476222154632	14917724.764419137	110200032.98494214
0.9995801080497314	0.00030740622060382305	0.0011807016822495964	0.19406529077921408	14918444.717165602	110198199.87318227
0.9996704516305924	0.0005272972356077377	0.991638926754067	0.0798200017461741	14918656.502545098	110226729.84795061
0.9993110184661641	0.0009775845057137245	0.0011516571507489415	0.19408855795112495	14918349.811856104	110199589.20157178
0.99997195690678	0.00028423216730338874	0.008796189499718665	0.19291572908194432	14918303.223288732	110198864.27708855
0.9995604218702361	0.0014641716388226755	0.9822153947551748	0.08052258748561719	14916417.979547845	110188643.87895328
0.9997810148509827	0.0021361052001121483	0.9963194742271031	0.1675447333414255	15716915.380514221	110208062.54212044
0.9999308423873812	0.0006091613042986666	0.9753143568993544	0.1701714741222567	15716611.769703655	110184077.32257557
0.9995867465624017	0.0014449993622714374	0.01919644211463356	0.10257064852728759	14115996.322549725	110201221.68860601
