Wind_P_el_n;pV_P_inst;storage_E_max;OC;OA
1.0;13786203.93345469;176582166268.88992;0.9295959095199927;0.40026615686597034
1.0;9320729.409056252;252018936826.5741;0.9999098765528521;0.2739627709637462
1.0;11871709.09829056;41391632894.90791;0.9043814890348142;0.3360830483587985
1.0;16660429.21584764;314918180087.3119;0.9305192801256109;0.4898945256181708
1.0;7978260.965377884;58269276575.287415;0.9939325272635978;0.22549475488552925
1.0;12841792.705729578;256178182533.40735;0.9732589247388218;0.3759756408871629
1.0;13774636.136733027;157931424357.28043;0.9217920458655178;0.39908771609614246
1.0;17122785.803822797;93216779856.8645;0.8127731436676706;0.49303667095904263
1.0;11756310.966747712;172619333997.0637;0.9665595041650743;0.3408091212555642
1.0;13226986.206390917;358691588876.06165;0.989085911835768;0.3913652436575725
1.0;667359.1699224948;160577198671.17224;0.999999999999781;0.029050347831331317
1.0;5026785.703244765;42298967993.64098;0.9999999997351504;0.14195364942599895
1.0;10876032.244068772;174881526530.74252;0.9813708378134773;0.3152808364655166
1.0;16565492.091355322;151994056134.08102;0.8609250394026049;0.4806336341543163
1.0;4841816.081293078;102006516980.41798;0.9999999999478033;0.14060783722287915
1.0;11237013.936032899;181414483283.17746;0.977688121900073;0.32606822902598753
1.0;7808775.9358133245;205741341275.55078;0.9999978345855121;0.22882905604344975
1.0;1051852.126161389;84384611223.94756;0.9999999999998187;0.03508320393578327
1.0;11646803.707467262;236071001511.89496;0.9847596856639265;0.340335902555909
1.0;6491884.463413765;186052940122.83813;0.9999999906255653;0.19103027769483125
1.0;5692593.002723287;156027337181.23627;0.9999999991286865;0.16721851475532626
1.0;7157581.695748263;232739067738.2225;0.9999999804578207;0.21217632896704322
1.0;11347612.897323972;228068637618.7055;0.9867684362249385;0.3312947444055723
1.0;7119305.1377972225;154935612355.01105;0.9999975878210209;0.20668135608672422
1.0;6578610.42787515;277117307640.95734;0.9999999888736051;0.1985800361412783
1.0;7416698.39891063;144232830854.97122;0.9999666000914402;0.21438435306952797
1.0;19484527.43614649;254771227517.96652;0.8570662335663947;0.5707714086662964
1.0;14629698.381914282;147384266459.59723;0.8992924452591375;0.4236572749155549
1.0;5608565.322553315;130596296762.0277;0.9999999993910234;0.1634264692568232
1.0;3778279.575806734;322443744314.25446;0.9999999999999486;0.12382208830033828
1.0;6385792.942866822;64758831712.150505;0.9999332555389631;0.18091184691552795
1.0;14232952.811674284;213283177065.42313;0.9357755073999857;0.4148930785716192
1.0;18385635.085569456;162745674012.72565;0.8296400403499277;0.5345107499638133
1.0;11325153.89979413;98674501844.5926;0.9470860677158912;0.32458730362143123
1.0;19000472.509770762;4188905646.3726835;0.6960699602893793;0.5268465389420779
1.0;790380.9144907624;90681010532.0419;0.999999999999775;0.028266208290660105
1.0;1260102.6457253129;214537430730.6783;0.9999999999998688;0.04847193573818967
1.0;2645922.425113912;284841337375.0215;0.9999999999999297;0.09056957572939944
1.0;5940004.186758922;349535993354.5945;0.9999999977700994;0.18489725918842614
1.0;19198892.544646673;275812593217.9478;0.8719693830470909;0.5631534534660692
1.0;2076571.7950885666;125124228560.80084;0.9999999999999033;0.06579823797418716
1.0;19106658.20912289;231494100329.36935;0.8526183490304192;0.5587712387570659
1.0;2190717.2075927397;10656320949.519802;0.9999999999998964;0.0613890207201012
1.0;12675997.977096444;12394580265.670918;0.8630358557940238;0.3543815454693476
1.0;11072007.43682853;134789738580.53366;0.9663140278122384;0.319123567215572
1.0;17174702.803553328;50836740484.531784;0.780568777819317;0.48979947667677054
1.0;20221149.564355392;288254277551.7589;0.8595965081861342;0.5936377321348657
1.0;9626906.533254882;171019256161.04758;0.9950261881725919;0.2788796786563644
1.0;4527254.609116362;20376042712.269592;0.9999999999999497;0.12663491767404408
1.0;14562175.089799587;329835918463.3467;0.9674037020248393;0.4290576509493979
1.0;15295347.958512554;192978492786.04108;0.9073212979526675;0.44524113463073967
1.0;8429558.166642088;200359289933.361;0.9999503794961166;0.24600996400375916
1.0;20574744.430070747;184359763400.96603;0.7999343155733474;0.5996968938281096
1.0;6307947.473862931;295446556364.3927;0.9999999943017717;0.19208648894368568
1.0;4157570.1121646375;244388427873.87848;0.999999999999951;0.12993791952941514
1.0;4081540.4268222186;356304436379.77563;0.9999999999999525;0.13403573020534656
1.0;7621777.809959531;176804331460.455;0.9999890354472392;0.22197060884559497
1.0;2420318.4816582347;202579899462.72437;0.9999999999999202;0.07975011044142462
1.0;1097958.0509098712;141668718232.7262;0.9999999999998402;0.039809867644157004
1.0;12890936.501391439;110257076175.4247;0.9180959074709206;0.3708096324021909
1.0;11103252.761538334;324975729801.63727;0.9990762680291075;0.32847087403854436
1.0;17690093.915768046;94965997371.19656;0.8016170499395603;0.5096750065583253
1.0;7005998.5857921215;325980966652.52594;0.9999999821087647;0.21323165273627304
1.0;18951564.7611801;262135235055.7451;0.8701750229168626;0.5553877220147255
1.0;2461093.4885891494;21798633536.671806;0.9999999999999089;0.0697614962503016
1.0;9712655.287796818;49033239221.21148;0.9609534031441458;0.27471408645876066
1.0;18573534.73203376;196351626902.82956;0.8445908632951892;0.5416422989031141
1.0;10747587.396066133;306336826875.5149;0.9992894153945262;0.31739329340537037
1.0;9879602.189202264;340717331525.9266;0.9999922231819324;0.2943380655026632
1.0;12191477.13180818;243713092674.49622;0.9793953845604207;0.3565132952681578
1.0;16053659.562982947;130961156381.42741;0.859896862667801;0.4644976864607106
1.0;1662744.7511441307;273502979256.1712;0.9999999999998987;0.0628686155838185
1.0;3562805.746565275;260561259448.4074;0.9999999999999444;0.11446421117972011
1.0;975660.3108112123;259427312994.31516;0.9999999999998526;0.04316267136533356
1.0;6864136.069478006;226189937117.14606;0.9999999836336412;0.20365661388745837
1.0;15658869.257923434;44678867652.39785;0.811465915725868;0.44540134697848527
1.0;7861440.716092241;64292565764.5647;0.9959872390432934;0.22251596412476518
1.0;20797728.794378795;292472297378.61285;0.8514753904485878;0.6107124712193306
1.0;4232463.997003846;285961494015.4889;0.9999999999999526;0.1343103509983363
1.0;17608852.62301048;346985608230.37634;0.9262633974042728;0.5188764340089546
1.0;16862529.73209261;62480771096.16234;0.7967187552456311;0.4823823428128026
1.0;4928328.0801674165;348014581919.04706;0.9999999997708815;0.15689908259630833
1.0;1761473.6111710074;353698545936.83026;0.9999999999999092;0.07002438825085018
1.0;342548.82463707525;157592140972.2774;0.9999999999996807;0.01992675864918593
1.0;9826676.565215172;266525034789.09427;0.9997708038052554;0.28911752917129524
1.0;3907084.1825293396;132258746503.76044;0.9999999999999455;0.11665265661438139
1.0;20937418.642917663;51890791066.80725;0.7014586037448339;0.5976224872571396
1.0;6136252.158779944;140259591973.68726;0.9999999971669087;0.1785467992250608
1.0;2702753.9613984213;311690273560.2726;0.999999999999932;0.09362003270471778
1.0;12691100.118824748;344691525651.5691;0.9918471882498106;0.3752315242986464
1.0;5257644.812699515;303442105286.098;0.9999999995924176;0.16351376196715836
1.0;20627205.403704878;13037200812.238518;0.6710715360395424;0.5769660312470285
1.0;5390151.765426465;18024172766.110947;0.9999697814538082;0.15025362988598137
1.0;8837250.607674222;107361815084.29115;0.99316114066359;0.2529434594726845
1.0;15885914.297978;78781445427.2993;0.8308387541405369;0.4558396885399387
